|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
unknow,unknow,All Zombies Must Die!,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
283840,283840,ALLTYNEX Second,SITER SKAIN,Nyu Media,,85,12,0,"20,000 .. 50,000",46,0,26,0,799,799,0,,
259170,259170,Alone in the Dark,"Eden Games, Hydravision Entertainment",THQ Nordic,,196,295,0,"50,000 .. 100,000",99,0,40,0,999,999,0,,
unknow,unknow,Alpha Kimori Episode One ,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
2590,2590,Alpha Prime,Black Element,Bohemia Interactive,,611,518,0,"200,000 .. 500,000",112,199,32,199,499,499,0,,
34010,34010,Alpha Protocol,Obsidian Entertainment,SEGA,,3091,776,0,"500,000 .. 1,000,000",565,23,114,23,1499,1499,0,,
63110,63110,Alter Ego,bitComposer Games,Viva Media,,137,59,0,"20,000 .. 50,000",332,0,389,0,999,999,0,,
664780,664780,Alter Ego,Choose Multiple LLC,Choose Multiple LLC,,17,8,0,"0 .. 20,000",0,0,0,0,799,799,0,,
unknow,unknow,Alter World,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
41300,41300,Altitude,Nimbly Games,Nimbly Games,,1538,127,0,"200,000 .. 500,000",1066,0,44,0,0,0,0,,
338420,338420,Alum,Crashable Studios,N/A,,96,41,0,"50,000 .. 100,000",131,0,72,0,499,499,0,,
274310,274310,Always Sometimes Monsters,Vagabond Dog,Devolver Digital,,1681,548,0,"200,000 .. 500,000",497,0,153,0,999,999,0,,
3530,3530,Amazing Adventures Around the World,SpinTop Games,"PopCap Games, Inc.",,23,7,0,"20,000 .. 50,000",243,9,309,9,499,499,0,,
3510,3510,Amazing Adventures The Lost Tomb,SpinTop Games,"PopCap Games, Inc.",,20,8,0,"20,000 .. 50,000",37,0,32,0,499,499,0,,
315850,315850,Amazing Princess Sarah,Haruneko Entertainment,Haruneko Entertainment,,129,66,0,"0 .. 20,000",190,18,237,18,499,499,0,,
unknow,unknow,Amazing World,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
